DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/01/02 17:15:00,AQUA_M-T,Brasil,AMAZONAS,ITACOATIARA,Amazônia,0,0.8,0.0,-3.29169,-58.6592,19.1
2023/01/03 18:00:00,AQUA_M-T,Brasil,AMAZONAS,FONTE BOA,Amazônia,1,2.23,-999.0,-2.51782,-66.09596,7.2
2023/01/05 17:45:00,AQUA_M-T,Brasil,AMAZONAS,COARI,Amazônia,1,8.16,0.0,-3.83598,-63.4945,11.4
2023/01/05 17:45:00,AQUA_M-T,Brasil,AMAZONAS,UARINI,Amazônia,1,8.93,0.0,-3.11321,-65.22227,10.3
2023/01/08 18:13:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,1.66,0.0,-9.11893,-65.33366,6.4
2023/01/10 18:00:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,0,0.6,0.0,-7.61045,-61.33851,6.7
2023/01/10 18:00:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,12.4,0.0,-9.09291,-65.28424,5.1
2023/01/11 18:42:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,3.42,0.0,-9.01768,-65.90421,30.2
2023/01/11 18:42:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,3.15,0.0,-9.01375,-65.90971,29.4
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,ITAPIRANGA,Amazônia,1,5.45,0.0,-2.71798,-58.11518,66.0
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,0,0.2,0.01,-3.75037,-59.20827,9.8
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,0,0.0,0.0,-3.78244,-59.36412,21.4
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,CAREIRO,Amazônia,0,11.9,0.0,-3.83132,-60.46626,7.6
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,APUÍ,Amazônia,1,1.6,0.0,-6.82341,-59.0025,6.1
2023/01/12 17:49:00,AQUA_M-T,Brasil,AMAZONAS,MANAUS,Amazônia,0,4.5,0.0,-2.16639,-60.09855,4.1
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,0,0.27,0.01,-3.51577,-59.24263,5.1
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANACAPURU,Amazônia,0,6.24,0.0,-3.53921,-60.67871,9.1
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANAQUIRI,Amazônia,0,2.26,0.0,-3.56241,-60.32344,5.5
2023/01/12 17:49:00,AQUA_M-T,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazônia,0,1.88,0.0,-1.79867,-60.10288,5.6
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,1,0.2,0.01,-3.74901,-59.19897,38.6
2023/01/12 17:47:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,0,0.2,0.01,-3.73989,-59.20032,14.9
2023/01/17 18:04:00,AQUA_M-T,Brasil,AMAZONAS,ALVARÃES,Amazônia,0,0.0,0.0,-3.45536,-65.0683,5.9
2023/01/17 18:04:00,AQUA_M-T,Brasil,AMAZONAS,ALVARÃES,Amazônia,0,0.0,0.0,-3.47202,-65.05675,4.6
2023/01/21 17:36:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,0,6.75,-999.0,-5.80861,-61.29495,13.3
2023/01/21 17:36:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,0,1.02,0.0,-6.14907,-60.0716,6.4
2023/01/21 17:36:00,AQUA_M-T,Brasil,AMAZONAS,TEFÉ,Amazônia,0,3.89,-999.0,-3.35099,-64.72349,24.8
2023/01/21 17:36:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,0,1.39,0.0,-5.23341,-60.09697,9.2
2023/01/24 18:04:00,AQUA_M-T,Brasil,AMAZONAS,HUMAITÁ,Amazônia,0,14.67,0.0,-7.62606,-63.33629,10.4
2023/01/24 18:04:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,0,4.87,0.0,-7.92547,-61.27412,11.5
2023/01/24 18:04:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,5.19,0.0,-8.88137,-66.7522,9.6
2023/01/26 17:53:00,AQUA_M-T,Brasil,AMAZONAS,BARCELOS,Amazônia,2,0.1,0.0,-1.03048,-62.92937,5.1
2023/01/26 17:51:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,1.1,0.0,-8.99257,-66.03191,18.1
2023/01/26 17:51:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,1.32,0.0,-9.0708,-65.8761,14.1
2023/01/26 17:51:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0,1.81,0.0,-9.01628,-66.07464,16.2
2023/01/26 17:53:00,AQUA_M-T,Brasil,AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,2,0.0,0.0,0.50753,-67.40961,9.7
2023/01/26 17:53:00,AQUA_M-T,Brasil,AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,2,0.0,0.0,0.50929,-67.40469,20.3
2023/01/27 18:34:00,AQUA_M-T,Brasil,AMAZONAS,GUAJARÁ,Amazônia,0,3.39,0.0,-7.44868,-72.78945,9.9
2023/01/27 18:34:00,AQUA_M-T,Brasil,AMAZONAS,GUAJARÁ,Amazônia,0,3.12,0.0,-7.44208,-72.74299,6.2
2023/01/28 17:41:00,AQUA_M-T,Brasil,AMAZONAS,SANTA ISABEL DO RIO NEGRO,Amazônia,4,0.0,0.0,-0.34186,-65.40652,33.8
2023/01/28 17:41:00,AQUA_M-T,Brasil,AMAZONAS,SANTA ISABEL DO RIO NEGRO,Amazônia,3,0.0,0.0,-0.3434,-65.42112,26.0
2023/01/29 18:21:00,AQUA_M-T,Brasil,AMAZONAS,BENJAMIN CONSTANT,Amazônia,0,13.43,-999.0,-4.32221,-69.90282,7.5
2023/01/29 18:23:00,AQUA_M-T,Brasil,AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,4,0.28,0.0,1.62676,-68.99377,36.0
2023/01/29 18:21:00,AQUA_M-T,Brasil,AMAZONAS,SÃO PAULO DE OLIVENÇA,Amazônia,0,34.04,0.0,-3.65847,-69.44595,7.0
2023/01/29 18:21:00,AQUA_M-T,Brasil,AMAZONAS,SÃO PAULO DE OLIVENÇA,Amazônia,0,32.8,0.0,-3.66743,-69.44465,11.7
2023/01/29 18:21:00,AQUA_M-T,Brasil,AMAZONAS,TABATINGA,Amazônia,0,19.92,0.0,-4.09914,-69.56801,6.0
2023/01/30 17:26:00,AQUA_M-T,Brasil,AMAZONAS,BARCELOS,Amazônia,6,0.3,0.0,-1.0116,-62.94801,26.1
2023/01/30 17:26:00,AQUA_M-T,Brasil,AMAZONAS,BARCELOS,Amazônia,0,0.0,0.0,-0.69072,-63.26342,48.7
