DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2022/04/18 17:52:00,AQUA_M-T,Brasil,AMAZONAS,FONTE BOA,Amazônia,0.0,7.5,0.0,-2.52094,-66.09184,6.4
2022/04/18 17:52:00,AQUA_M-T,Brasil,AMAZONAS,UARINI,Amazônia,2.0,3.6,0.0,-3.0035,-65.09885,10.7
2022/04/18 17:52:00,AQUA_M-T,Brasil,AMAZONAS,TEFÉ,Amazônia,2.0,0.9,-999.0,-3.35533,-64.72098,8.0
2022/04/18 17:49:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,2.0,3.7,0.0,-9.42073,-65.52581,7.9
2022/04/22 17:26:00,AQUA_M-T,Brasil,AMAZONAS,COARI,Amazônia,0.0,0.2,-999.0,-4.09247,-63.15067,15.8
2022/04/24 17:15:00,AQUA_M-T,Brasil,AMAZONAS,MANAUS,Amazônia,0.0,1.1,-999.0,-3.01029,-60.00295,23.8
2022/04/24 17:13:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,1.0,0.6,0.0,-3.38989,-59.26793,11.9
2022/04/25 17:58:00,AQUA_M-T,Brasil,AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,0.0,1.1,0.0,-0.12543,-66.95686,8.2
2022/04/25 17:56:00,AQUA_M-T,Brasil,AMAZONAS,CAREIRO,Amazônia,2.0,0.1,0.0,-3.34165,-59.75418,14.4
2022/04/25 17:56:00,AQUA_M-T,Brasil,AMAZONAS,CAREIRO DA VÁRZEA,Amazônia,2.0,2.0,0.0,-3.45893,-59.39616,14.2
2022/04/25 17:56:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,0.0,2.3,0.0,-9.56274,-66.52296,8.6
2022/04/28 18:26:00,AQUA_M-T,Brasil,AMAZONAS,BENJAMIN CONSTANT,Amazônia,0.0,3.9,-999.0,-4.38318,-70.03049,8.8
2022/04/30 18:13:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,4.0,3.3,0.2,-9.41201,-65.53352,13.4
2022/05/02 18:02:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,2.0,7.9,0.0,-8.5888,-64.93475,5.8
2022/05/09 18:06:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,5.0,0.2,0.8,-9.50523,-67.21928,5.1
2022/05/11 17:55:00,AQUA_M-T,Brasil,AMAZONAS,FONTE BOA,Amazônia,0.0,0.2,-999.0,-2.519,-66.09,6.1
2022/05/11 17:55:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazônia,0.0,2.5,-999.0,-2.648,-56.746,20.9
2022/05/11 17:56:00,AQUA_M-T,Brasil,AMAZONAS,FONTE BOA,Amazônia,0.0,0.2,-999.0,-2.51946,-66.08994,6.1
2022/05/11 17:54:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazônia,0.0,2.5,-999.0,-2.64755,-56.74614,20.9
2022/05/13 17:41:00,AQUA_M-T,Brasil,AMAZONAS,CAREIRO DA VÁRZEA,Amazônia,3.0,1.5,0.0,-3.47362,-59.51604,10.1
2022/05/18 17:58:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,2.0,0.0,0.0,-8.53729,-64.0141,7.4
2022/05/18 17:58:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,2.0,0.0,0.0,-8.53859,-64.0231,6.4
2022/05/18 17:58:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,2.0,0.0,0.0,-8.29814,-64.01239,4.3
2022/05/18 17:58:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,1.0,0.0,0.0,-8.29944,-64.02139,17.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.3,-8.58736,-61.34034,16.8
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,3.0,0.0,0.2,-8.5643,-61.37143,28.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,2.0,0.0,0.1,-8.49951,-61.82085,26.3
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,3.0,0.0,0.1,-8.50082,-61.83004,9.1
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,2.0,0.0,0.1,-8.50688,-61.81412,7.1
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,2.0,0.0,0.1,-8.50817,-61.82331,5.4
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.2,-8.55656,-61.31717,8.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,3.0,0.0,0.2,-8.56301,-61.36238,10.5
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,2.0,0.0,0.2,-8.56559,-61.38048,22.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.3,-8.56554,-61.31585,69.4
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.3,-8.56683,-61.32489,78.5
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,2.0,0.0,0.1,-8.4982,-61.81166,16.9
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.3,-8.5758,-61.32357,71.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.3,-8.58607,-61.3313,70.1
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,3.0,0.0,0.3,-9.21488,-65.7298,35.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,2.0,0.0,0.3,-9.21575,-65.71946,16.2
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,2.0,0.0,0.3,-9.21781,-65.73472,23.0
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,4.0,0.0,0.3,-8.58478,-61.32226,5.9
2022/05/20 17:47:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,3.0,0.0,0.3,-8.57709,-61.33261,46.8
2022/05/22 17:34:00,AQUA_M-T,Brasil,AMAZONAS,MAUÉS,Amazônia,3.0,0.1,0.0,-3.65189,-58.1881,5.2
2022/05/22 17:34:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,4.0,0.0,0.1,-8.54561,-61.80671,30.5
2022/05/22 17:34:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,5.0,0.0,0.2,-8.58778,-61.84944,13.0
2022/03/21 17:30:00,AQUA_M-T,Brasil,AMAZONAS,COARI,Amazônia,0.0,2.7,-999.0,-4.10325,-63.15256,14.9
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,5.0,0.0,0.1,-8.18024,-63.80831,21.8
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,5.0,0.0,0.2,-8.18027,-63.80338,24.6
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,4.0,0.0,0.1,-8.3791,-61.78777,45.0
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,4.0,0.0,0.1,-8.38562,-61.82452,53.2
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,3.0,0.0,0.1,-8.39351,-61.78994,61.1
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,3.0,0.0,0.1,-8.39592,-61.78488,32.5
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,4.0,0.0,0.1,-8.39974,-61.82674,74.6
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,4.0,0.0,0.1,-8.4024,-61.82164,86.9
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,3.0,0.0,0.3,-8.52714,-61.39923,126.2
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,3.0,0.0,0.3,-8.52736,-61.39471,119.6
2022/05/21 18:28:00,AQUA_M-T,Brasil,AMAZONAS,NOVO ARIPUANÃ,Amazônia,2.0,0.0,0.3,-8.55835,-61.47025,96.7
2022/05/06 17:37:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,3.0,0.2,0.2,-8.5424,-64.14926,30.4
2022/05/06 17:37:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,3.0,0.2,0.3,-8.54633,-64.14173,36.1
2022/04/23 18:11:00,AQUA_M-T,Brasil,AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,0.0,0.2,0.0,0.22896,-69.51888,7.5
2022/04/23 18:11:00,AQUA_M-T,Brasil,AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,0.0,0.0,0.0,0.24134,-69.75603,6.2
2022/05/23 18:17:00,AQUA_M-T,Brasil,AMAZONAS,IPIXUNA,Amazônia,5.0,2.2,0.2,-6.98,-71.49147,11.6
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.1,-8.51551,-61.9397,17.5
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,8.0,0.0,0.1,-8.51856,-61.96326,33.5
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,8.0,0.0,0.1,-8.52414,-61.95548,51.8
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,6.0,0.0,0.2,-8.65343,-61.81504,32.9
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazônia,2.0,0.8,0.0,-3.01243,-57.12425,8.2
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,MAUÉS,Amazônia,3.0,0.0,-999.0,-3.38847,-57.71405,8.2
2022/05/24 17:22:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.2,-8.65636,-61.83815,18.1
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,8.0,0.0,0.4,-9.249,-65.85393,14.1
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,LÁBREA,Amazônia,8.0,0.0,0.1,-9.2503,-65.86305,10.0
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,CAREIRO,Amazônia,5.0,0.0,0.0,-3.74924,-60.28916,14.5
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.2,-8.40027,-61.74349,11.0
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.2,-8.40218,-61.75583,28.4
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.2,-8.40408,-61.7681,41.1
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.2,-8.40598,-61.78035,16.2
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,9.0,0.0,0.2,-8.48975,-61.93489,26.8
2022/05/25 18:04:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,9.0,0.0,0.2,-8.49158,-61.92785,26.0
2022/05/26 17:09:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,4.0,0.5,0.0,-3.38284,-59.24096,35.3
2022/05/26 17:09:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazônia,4.0,0.4,0.1,-3.38573,-59.26196,25.4
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,CANUTAMA,Amazônia,10.0,3.3,0.5,-7.46868,-64.44378,8.3
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,11.0,0.0,0.3,-8.14884,-61.78579,11.9
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,11.0,0.0,0.3,-8.15016,-61.79483,10.8
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,11.0,0.0,0.3,-8.15651,-61.77541,34.8
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,11.0,0.0,0.3,-8.16549,-61.77407,66.7
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,11.0,0.0,0.3,-8.17447,-61.77274,27.2
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,11.0,0.0,0.3,-8.18345,-61.7714,57.7
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,8.0,0.0,0.4,-8.39502,-61.64439,11.3
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.3,-8.40516,-61.64545,39.7
2022/05/27 17:52:00,AQUA_M-T,Brasil,AMAZONAS,MANICORÉ,Amazônia,7.0,0.0,0.4,-8.42182,-61.63371,53.6
